repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
shadcn-ui/ui,10062,1,2,2,0.9957,13,0,2163,0,146,3.25,428,0,0,0
shadcn-ui/ui,10227,1,15,100,5.7048,9,23359,20292,0,5,148.6,206,763,329,0
shadcn-ui/ui,10212,2,14,66,0.5202,18406,8315,35727,0,17,10.38,348,763,329,0
shadcn-ui/ui,10204,1,1,1,0.0,131,114,788,1,1,0.34,24,761,327,0
shadcn-ui/ui,10203,4,4,5,2.0703,13,12,17507,0,14,3.35,404,65,18,0
shadcn-ui/ui,10202,2,4,4,0.7666,196,6,1497,1,2,13.02,40,760,326,0
shadcn-ui/ui,10196,1,2,2,0.9957,13,0,2150,0,145,2.94,426,1,1,0
ClickHouse/ClickHouse,98788,3,6,30,4.1338,2209,172,9031,0,45,31.03,552,405,32,0
ClickHouse/ClickHouse,100902,2,2,3,1.5613,42,6,379,0,7,33.26,22,48,6,0
ClickHouse/ClickHouse,101127,1,1,1,0.0,10,0,63,1,3,37.97,20,8,2,0
ClickHouse/ClickHouse,100582,1,2,5,2.192,8,5,401,0,13,105.81,48,5072,2336,0
ClickHouse/ClickHouse,98299,2,2,3,0.7793,13,0,10859,0,83,1.37,978,4259,1615,0
ClickHouse/ClickHouse,98284,2,4,6,1.4788,293,6,732,0,5,100.49,25,4259,1615,0
ClickHouse/ClickHouse,98247,2,2,3,1.4613,36,7,338,1,7,23.68,12,4192,1548,0
ClickHouse/ClickHouse,100912,2,3,3,0.5609,31,25,1246,0,17,5.54,104,8,2,0
ClickHouse/ClickHouse,101215,1,1,1,nan,1,0,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,98286,2,2,3,1.0141,63,1,2901,1,48,7.79,456,4246,1602,0
ClickHouse/ClickHouse,98441,2,2,3,1.3048,54,5,89,1,3,103.24,9,4376,1732,0
ClickHouse/ClickHouse,99879,2,6,10,2.7551,204,29,8093,1,88,123.86,1051,75,21,0
ClickHouse/ClickHouse,101249,2,2,3,nan,42,6,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101247,2,2,3,nan,42,6,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101245,2,2,3,nan,42,6,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,98238,2,2,3,1.2674,18,1,24,1,3,41.21,9,4190,1546,0
ClickHouse/ClickHouse,98179,2,2,3,0.9024,13,9,5200,1,35,1.01,447,848,139,0
ClickHouse/ClickHouse,89994,1,1,1,0.0,13,6,376,1,5,3.61,7,46,1,0
ClickHouse/ClickHouse,101236,2,2,3,nan,54,5,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101234,2,2,3,nan,54,5,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,99164,2,4,5,1.6787,82,2,1527,1,53,19.68,217,780,189,0
ClickHouse/ClickHouse,101222,2,6,10,nan,213,29,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,99219,2,2,3,1.4764,69,9,798,1,39,7.1,425,5077,2333,0
ClickHouse/ClickHouse,93197,2,3,7,1.8278,137,5,5594,1,50,193.92,962,848,43,0
ClickHouse/ClickHouse,100951,1,1,1,0.0,4,0,33,1,2,489.9,2,15,15,0
ClickHouse/ClickHouse,101147,2,2,3,1.0224,16,1,5589,1,40,0.98,516,15,15,0
ClickHouse/ClickHouse,99131,2,5,12,2.5565,713,0,9762,0,172,1.65,5743,162,8,0
ClickHouse/ClickHouse,101223,2,6,10,nan,204,29,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,96713,2,2,9,2.666,99,3,3037,1,25,36.43,344,3623,998,0
ClickHouse/ClickHouse,96022,2,2,3,1.3736,148,0,692,1,22,4.15,53,3195,605,0
ClickHouse/ClickHouse,95110,2,2,3,1.4777,78,14,3896,1,54,4.6,677,3024,485,0
ClickHouse/ClickHouse,100982,2,2,2,0.8113,3,1,3697,0,95,46.83,388,1660,137,0
ClickHouse/ClickHouse,101185,1,1,3,nan,29,1,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,100984,1,1,3,1.2476,16,16,154,1,2,5.96,31,284,44,0
ClickHouse/ClickHouse,93115,2,2,4,1.506,512,15,904,1,20,292.68,61,1049,327,0
ClickHouse/ClickHouse,96359,2,2,3,0.3472,74,0,394,1,7,14.51,14,3321,708,0
ClickHouse/ClickHouse,95594,1,4,7,2.1925,25,23,18185,1,118,0.67,1931,1668,347,0
ClickHouse/ClickHouse,99741,1,1,1,0.0,5,3,159,0,1,48.92,1,3,2,0
ClickHouse/ClickHouse,97430,2,2,6,2.3369,10,85,3704,1,49,1.05,482,3907,1275,0
ClickHouse/ClickHouse,100798,1,2,2,0.9183,12,0,1521,1,8,28.72,26,907,41,0
ClickHouse/ClickHouse,100796,1,1,1,0.0,1,3,764,1,8,9.79,23,75,21,0
ClickHouse/ClickHouse,100794,2,2,5,1.7957,46,11,2958,1,48,29.8,459,75,21,0
ClickHouse/ClickHouse,101197,1,1,1,nan,5,3,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101195,1,1,1,nan,5,3,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,100064,1,9,20,3.5604,252,70,8563,0,111,33.02,1202,2,1,0
ClickHouse/ClickHouse,100839,1,1,3,1.1989,29,1,9606,1,107,27.87,991,58,14,0
ClickHouse/ClickHouse,100968,1,9,20,nan,253,70,0,0,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101186,1,1,3,nan,29,1,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101184,1,1,3,nan,29,1,0,1,0,0.0,0,0,0,0
ClickHouse/ClickHouse,101182,1,1,3,nan,29,1,0,1,0,0.0,0,0,0,0
