label,outcome,n_has_any_attention=True,n_has_any_attention=False,rate_has_any_attention=True,rate_has_any_attention=False,odds_ratio,p_value,analysis,variable,coefficient,ci_lower,ci_upper,n,question_bin,n_positive,rate,n_repos,n_lower_with_attention,n_higher_with_attention,sign_test_p,source,subset,or,p,classification
any_attention,reworked,6773.0,72582.0,0.0449,0.0462,0.9703,0.6495,,,,,,,,,,,,,,,,,,
any_attention,escaped,6773.0,72582.0,0.012,0.0067,1.7993,0.0,,,,,,,,,,,,,,,,,,
any_attention,strict_escaped,6773.0,72582.0,0.0015,0.0015,0.9568,1.0,,,,,,,,,,,,,,,,,,
,reworked,,,,,3.1917,0.0,logistic_regression,has_questions,1.1606,2.0187,5.0463,79355.0,,,,,,,,,,,,
,reworked,,,,,1.1964,0.0443,logistic_regression,review_genuine_questions,0.1793,1.0046,1.4248,79355.0,,,,,,,,,,,,
,reworked,,,,,1.1461,0.0,logistic_regression,log_additions,0.1364,1.1199,1.173,79355.0,,,,,,,,,,,,
,reworked,,,,,1.0179,0.1029,logistic_regression,log_deletions,0.0177,0.9964,1.0398,79355.0,,,,,,,,,,,,
,reworked,,,,,1.5132,0.0,logistic_regression,log_files_count,0.4142,1.4453,1.5843,79355.0,,,,,,,,,,,,
,reworked,,,,,0.9995,0.0,logistic_regression,review_total_length,-0.0005,0.9993,0.9996,79355.0,,,,,,,,,,,,
,reworked,,,,,0.8898,0.0,logistic_regression,review_unique_reviewers,-0.1167,0.8642,0.9162,79355.0,,,,,,,,,,,,
,escaped,,,,,0.8119,0.8357,logistic_regression,has_questions,-0.2083,0.1134,5.8129,79355.0,,,,,,,,,,,,
,escaped,,,,,0.8377,0.4061,logistic_regression,review_genuine_questions,-0.1771,0.5517,1.2721,79355.0,,,,,,,,,,,,
,escaped,,,,,1.1076,0.0005,logistic_regression,log_additions,0.1022,1.0454,1.1735,79355.0,,,,,,,,,,,,
,escaped,,,,,1.0222,0.4216,logistic_regression,log_deletions,0.0219,0.969,1.0783,79355.0,,,,,,,,,,,,
,escaped,,,,,1.1681,0.0116,logistic_regression,log_files_count,0.1554,1.0354,1.3179,79355.0,,,,,,,,,,,,
,escaped,,,,,1.0001,0.1261,logistic_regression,review_total_length,0.0001,1.0,1.0002,79355.0,,,,,,,,,,,,
