repo,pr_number,review_questions,review_genuine_questions,review_hedging_count,review_challenge_count,review_total_length,review_unique_reviewers,review_rounds,has_review_attention
Aider-AI/aider,3381,0,0,0,0,0,0,0,False
Aider-AI/aider,3564,0,0,0,0,0,0,0,False
Aider-AI/aider,3609,0,0,0,0,0,0,0,False
Aider-AI/aider,3679,0,0,0,0,0,0,0,False
Aider-AI/aider,3692,0,0,0,0,0,0,0,False
Aider-AI/aider,3698,0,0,0,0,0,0,0,False
Aider-AI/aider,3733,0,0,0,0,0,0,0,False
Aider-AI/aider,3735,0,0,0,0,0,0,0,False
Aider-AI/aider,3736,0,0,0,0,0,0,0,False
Aider-AI/aider,3752,0,0,0,0,0,0,0,False
Aider-AI/aider,3764,0,0,0,0,0,0,0,False
Aider-AI/aider,3776,0,0,0,0,0,0,0,False
Aider-AI/aider,3789,1,0,0,0,127,1,2,False
Aider-AI/aider,3806,0,0,0,0,0,0,0,False
Aider-AI/aider,3823,0,0,0,0,0,0,0,False
Aider-AI/aider,3828,0,0,0,0,0,1,1,False
Aider-AI/aider,3831,0,0,0,0,0,0,0,False
Aider-AI/aider,3869,0,0,0,0,0,0,0,False
Aider-AI/aider,3870,0,0,0,0,0,0,0,False
Aider-AI/aider,3898,0,0,0,0,0,0,0,False
Aider-AI/aider,3930,0,0,0,0,0,0,0,False
Aider-AI/aider,3931,0,0,0,0,0,0,0,False
Aider-AI/aider,3982,0,0,0,0,0,0,0,False
Aider-AI/aider,3983,0,0,0,0,0,0,0,False
Aider-AI/aider,3993,0,0,0,0,0,0,0,False
Aider-AI/aider,4008,0,0,0,0,0,0,0,False
Aider-AI/aider,4022,0,0,0,0,0,0,0,False
Aider-AI/aider,4028,0,0,0,0,0,0,0,False
Aider-AI/aider,4057,0,0,0,0,0,0,0,False
Aider-AI/aider,4092,0,0,0,0,0,0,0,False
Aider-AI/aider,4096,0,0,0,0,0,0,0,False
Aider-AI/aider,4114,0,0,0,0,0,0,0,False
Aider-AI/aider,4146,0,0,0,0,0,0,0,False
Aider-AI/aider,4150,0,0,0,0,0,0,0,False
Aider-AI/aider,4156,0,0,0,0,0,0,0,False
Aider-AI/aider,4161,0,0,0,0,0,0,0,False
Aider-AI/aider,4163,0,0,0,0,0,0,0,False
Aider-AI/aider,4172,0,0,0,0,0,0,0,False
Aider-AI/aider,4182,0,0,0,0,0,0,0,False
