repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,s_length,s_structure,s_specificity,s_error_awareness,s_scope,s_acceptance,s_questions,s_references,s_overall,ce_questions,ce_questions_rate,ce_error_thinking,ce_error_thinking_rate,ce_uncertainty,ce_uncertainty_rate,ce_scope_awareness,ce_scope_awareness_rate,ce_tradeoff_reasoning,ce_tradeoff_reasoning_rate,ce_composite,ce_body_words,szz_bug_introducing,szz_fix_count
zephyrproject-rtos/zephyr,?,106373,doc: releases: add Zephyr 4.4 release highlights,kartben,2026-03-31T18:57:20+00:00,73,0,73,small,2,False,,pending,clean_pass,False,False,1,125.4,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,2,0,0,0,0,1,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10,False,0
zephyrproject-rtos/zephyr,?,106614,doc: develop: update MCUXpresso Installer link in host-tools documentation,kartben,2026-03-31T19:01:23+00:00,1,1,2,small,1,False,,pending,failed,False,False,0,10.3,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,1,0,0,0,0,1,20,0,0.0,0,0.0,1,5.5556,0,0.0,0,0.0,1,18,False,0
zephyrproject-rtos/zephyr,?,106001,doc fixes for OpenRISC arch and OpenRISC qemu board,kartben,2026-03-31T18:56:18+00:00,2,20,22,small,4,False,,pending,failed,False,False,1,239.2,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,5,0,0,0,0,2,71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,62,False,0
zephyrproject-rtos/zephyr,?,106564,soc: renesas: rx: add mcu_clock_setup for RX14T,quytranpzz,2026-03-31T19:01:11+00:00,1,0,1,small,1,False,,pending,failed,False,False,0,27.7,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,0,0,0,0,0,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10,False,0
zephyrproject-rtos/zephyr,?,106526,MAINTAINERS: promote HalfSweet to maintainer for SiFli platform,HalfSweet,2026-03-31T19:00:24+00:00,2,1,3,small,1,False,,pending,failed,False,False,0,34.4,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,0,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5,False,0
zephyrproject-rtos/zephyr,?,106524,MAINTAINER: hal_sifli: add ck-telecom as collaborators,ck-telecom,2026-03-31T19:00:05+00:00,1,0,1,small,1,False,,pending,failed,False,False,0,34.5,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,False,0
zephyrproject-rtos/zephyr,?,106451,Infineon cyw20829 warnings,billwatersiii,2026-03-31T18:59:46+00:00,9,0,9,small,2,False,,pending,failed,False,False,0,97.3,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2,4,2,0,0,0,0,72,0,0.0,1,1.5625,0,0.0,0,0.0,0,0.0,1,64,False,0
zephyrproject-rtos/zephyr,?,106448,modules: hal_infineon: CMakeLists.txt duplicates,billwatersiii,2026-03-31T18:59:20+00:00,7,5,12,small,3,False,,pending,clean_pass,False,False,0,98.3,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,2,0,0,0,0,0,38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,36,False,0
zephyrproject-rtos/zephyr,?,106432,"Revert ""drivers: pwm: add support for enabling DMA requests""",erwango,2026-03-31T18:58:56+00:00,1,173,174,medium,4,False,,pending,failed,False,False,0,102.2,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,0,0,0,31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,31,False,0
zephyrproject-rtos/zephyr,?,106144,subsys/pmci/mctp: Fix issues with big messages and assorted fixes,edersondisouza,2026-03-31T18:58:06+00:00,412,46,458,medium,13,False,,pending,clean_pass,False,False,1,186.7,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,4,0,1,0,0,0,0,126,0,0.0,1,0.8264,0,0.0,0,0.0,0,0.0,1,121,False,0
zephyrproject-rtos/zephyr,?,106385,doc: develop: manifests: external: fix zview cfg block,wkhadgar,2026-03-31T18:57:41+00:00,3,3,6,small,1,False,,pending,clean_pass,False,False,0,118.4,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,1,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9,False,0
zephyrproject-rtos/zephyr,?,94950,logging: Fix case where compilation failed with GCOV,nordic-krch,2026-03-31T18:57:31+00:00,6,0,6,small,1,False,,pending,clean_pass,False,False,0,5240.9,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,0,3,0,0,0,0,68,0,0.0,2,3.0769,0,0.0,0,0.0,0,0.0,1,65,False,0
zephyrproject-rtos/zephyr,?,106216,soc: cdns_swerv: allow running without external IRQ controller,dcpleung,2026-03-31T18:56:50+00:00,53,0,53,small,3,False,,pending,clean_pass,False,False,0,168.8,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0,1,1,1,0,0,0,110,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,107,False,0
