repo,specd_pr,unspecd_pr,size_specd,size_unspecd,q_overall,reworked_specd,reworked_unspecd,escaped_specd,escaped_unspecd,strict_escaped_specd,strict_escaped_unspecd
PostHog/posthog,51987,47173,0,0,61.0,False,False,False,False,False,False
PostHog/posthog,49399,51832,1,1,2.0,False,True,False,False,False,False
PostHog/posthog,51809,47923,1,2,32.0,False,True,False,False,False,False
PostHog/posthog,51816,51943,1,2,19.0,False,False,False,False,False,False
PostHog/posthog,47629,51894,1,2,48.0,False,False,False,False,False,False
PostHog/posthog,45946,46443,2,4,28.0,False,False,False,False,False,False
PostHog/posthog,47386,48010,3,5,28.0,False,False,False,False,False,False
PostHog/posthog,52099,50727,4,7,40.0,False,False,False,False,False,False
PostHog/posthog,47231,51685,4,8,47.0,True,False,False,False,False,False
PostHog/posthog,49408,51786,5,9,62.0,False,False,False,False,False,False
PostHog/posthog,52259,46431,7,14,14.0,False,False,False,False,False,False
PostHog/posthog,50545,46477,8,15,65.0,False,False,False,False,False,False
PostHog/posthog,49887,49144,10,19,72.0,False,False,False,False,False,False
PostHog/posthog,48108,47778,12,24,12.0,False,False,False,False,False,False
PostHog/posthog,51888,46452,13,26,66.0,False,False,False,False,False,False
PostHog/posthog,51899,46449,13,26,44.0,False,True,False,True,False,True
PostHog/posthog,48661,48614,14,27,15.0,False,True,False,False,False,False
PostHog/posthog,52014,47190,14,27,27.0,False,False,False,False,False,False
PostHog/posthog,51807,51797,18,36,57.0,True,False,False,False,False,False
PostHog/posthog,46480,47787,19,37,51.0,False,False,False,False,False,False
PostHog/posthog,49280,51931,20,40,34.0,False,False,False,False,False,False
PostHog/posthog,51855,47364,24,48,57.0,False,False,False,False,False,False
PostHog/posthog,48964,46476,25,50,60.0,False,False,False,False,False,False
PostHog/posthog,51823,49589,26,51,83.0,False,False,False,False,False,False
PostHog/posthog,48675,52221,29,58,67.0,False,False,False,False,False,False
PostHog/posthog,52364,48326,36,72,76.0,False,True,False,False,False,False
PostHog/posthog,52160,51952,37,74,47.0,False,False,False,False,False,False
PostHog/posthog,49273,47047,47,93,57.0,False,False,False,False,False,False
PostHog/posthog,47529,51913,50,98,81.0,False,False,False,False,False,False
PostHog/posthog,46548,51947,55,109,42.0,False,False,False,False,False,False
PostHog/posthog,46499,50733,64,127,22.0,True,False,False,False,False,False
PostHog/posthog,46897,51387,69,138,14.0,False,False,False,False,False,False
PostHog/posthog,50901,50034,73,146,59.0,False,False,False,False,False,False
PostHog/posthog,49720,52077,77,153,34.0,False,True,False,False,False,False
PostHog/posthog,52140,51874,118,235,48.0,False,False,False,False,False,False
PostHog/posthog,51919,51928,136,272,71.0,False,False,False,False,False,False
PostHog/posthog,51925,52220,198,391,40.0,False,False,False,False,False,False
PostHog/posthog,52130,46883,236,472,79.0,False,False,False,False,False,False
PostHog/posthog,52162,51915,244,486,75.0,False,False,False,False,False,False
PostHog/posthog,51037,50988,293,578,53.0,False,False,False,False,False,False
PostHog/posthog,52149,52025,309,615,50.0,False,False,False,False,False,False
PostHog/posthog,51533,51800,316,627,48.0,True,True,False,False,False,False
PostHog/posthog,46755,51577,502,1004,47.0,False,False,False,False,False,False
PostHog/posthog,51912,48091,550,1017,49.0,False,False,False,False,False,False
PostHog/posthog,52023,43065,831,1662,84.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,393,181,2,4,1.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,398,238,7,13,65.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,392,326,11,21,62.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,210,332,17,25,52.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,325,301,190,299,7.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,289,258,299,430,51.0,False,False,False,False,False,False
anthropics/anthropic-cookbook,305,206,3091,3750,56.0,True,True,False,False,False,False
antiwork/gumroad,1357,2132,1,1,72.0,False,False,False,False,False,False
antiwork/gumroad,3357,4031,1,2,67.0,False,False,False,False,False,False
antiwork/gumroad,3001,2713,1,2,64.0,False,True,False,False,False,False
antiwork/gumroad,2766,2609,1,2,11.0,False,False,False,False,False,False
antiwork/gumroad,2733,2592,1,2,71.0,False,False,False,False,False,False
antiwork/gumroad,2623,2283,1,2,89.0,True,False,False,False,False,False
antiwork/gumroad,3865,1986,1,2,76.0,False,False,False,False,False,False
antiwork/gumroad,3912,1476,1,2,60.0,False,False,False,False,False,False
antiwork/gumroad,1577,2370,2,3,51.0,False,False,False,False,False,False
antiwork/gumroad,3923,1995,2,3,74.0,False,False,False,False,False,False
antiwork/gumroad,3908,3476,2,4,74.0,True,False,False,False,False,False
antiwork/gumroad,3917,3520,2,4,71.0,False,False,False,False,False,False
antiwork/gumroad,1440,2262,2,4,50.0,False,False,False,False,False,False
