repo,pr_number,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_overall
calcom/cal.com,27097,75.0,15.0,70.0,65.0,0.0,45.0,70.0,59.0
promptfoo/promptfoo,6598,85.0,60.0,75.0,80.0,50.0,75.0,80.0,76.0
apache/kafka,21612,82.0,35.0,78.0,65.0,88.0,72.0,75.0,67.0
apache/arrow,48143,72.0,15.0,65.0,35.0,0.0,45.0,50.0,47.0
mendableai/firecrawl,3218,72.0,35.0,65.0,45.0,75.0,40.0,70.0,57.0
apache/kafka,21769,75.0,25.0,70.0,60.0,40.0,55.0,80.0,62.0
apache/arrow,48020,25.0,5.0,20.0,15.0,10.0,30.0,15.0,16.0
apache/arrow,49284,35.0,0.0,40.0,15.0,0.0,30.0,20.0,22.0
calcom/cal.com,26773,25.0,0.0,15.0,10.0,20.0,5.0,10.0,12.0
astral-sh/ruff,23921,35.0,15.0,25.0,20.0,0.0,30.0,20.0,23.0
antiwork/gumroad,2769,75.0,20.0,70.0,25.0,35.0,65.0,70.0,52.0
promptfoo/promptfoo,6999,92.0,45.0,88.0,75.0,50.0,85.0,80.0,76.0
calcom/cal.com,26727,72.0,35.0,65.0,58.0,50.0,40.0,70.0,60.0
antiwork/gumroad,1898,95.0,5.0,90.0,85.0,0.0,85.0,90.0,73.0
calcom/cal.com,26438,35.0,5.0,25.0,15.0,0.0,10.0,20.0,20.0
antiwork/gumroad,2220,75.0,5.0,45.0,35.0,0.0,70.0,60.0,44.0
calcom/cal.com,27938,45.0,10.0,35.0,25.0,0.0,15.0,30.0,29.0
PostHog/posthog,52160,75.0,5.0,60.0,40.0,10.0,65.0,55.0,47.0
astral-sh/ruff,23510,90.0,40.0,85.0,75.0,0.0,80.0,80.0,74.0
antiwork/gumroad,3894,90.0,35.0,65.0,30.0,25.0,75.0,70.0,58.0
promptfoo/promptfoo,6917,72.0,25.0,65.0,55.0,0.0,40.0,68.0,57.0
apache/arrow,48747,72.0,35.0,78.0,45.0,0.0,65.0,58.0,58.0
PostHog/posthog,49396,85.0,65.0,70.0,50.0,0.0,75.0,70.0,68.0
astral-sh/ruff,22414,65.0,5.0,50.0,25.0,0.0,40.0,30.0,35.0
calcom/cal.com,26744,75.0,10.0,70.0,20.0,0.0,45.0,30.0,41.0
mendableai/firecrawl,2467,75.0,45.0,65.0,40.0,60.0,30.0,70.0,59.0
astral-sh/ruff,22814,65.0,0.0,40.0,20.0,0.0,55.0,25.0,30.0
calcom/cal.com,26758,82.0,35.0,75.0,70.0,60.0,65.0,78.0,68.0
PostHog/posthog,49458,45.0,5.0,55.0,10.0,15.0,35.0,25.0,28.0
antiwork/gumroad,3976,85.0,15.0,75.0,60.0,0.0,70.0,75.0,62.0
apache/kafka,21520,78.0,0.0,82.0,35.0,0.0,45.0,42.0,47.0
astral-sh/ruff,23228,75.0,20.0,60.0,45.0,0.0,50.0,60.0,52.0
antiwork/gumroad,2382,75.0,15.0,70.0,65.0,0.0,45.0,60.0,57.0
astral-sh/ruff,22194,65.0,0.0,50.0,15.0,0.0,40.0,35.0,33.0
antiwork/gumroad,2098,78.0,45.0,82.0,72.0,25.0,65.0,68.0,69.0
promptfoo/promptfoo,7971,88.0,45.0,85.0,82.0,70.0,80.0,88.0,78.0
calcom/cal.com,27511,72.0,35.0,78.0,58.0,42.0,45.0,68.0,62.0
astral-sh/ruff,22142,60.0,0.0,45.0,15.0,0.0,35.0,25.0,29.0
calcom/cal.com,28409,75.0,0.0,70.0,35.0,40.0,20.0,25.0,41.0
apache/arrow,49126,72.0,15.0,68.0,45.0,0.0,58.0,52.0,50.0
astral-sh/ruff,23401,60.0,0.0,45.0,10.0,,30.0,25.0,28.0
apache/arrow,48640,92.0,5.0,95.0,70.0,0.0,40.0,85.0,69.0
calcom/cal.com,26815,62.0,35.0,55.0,40.0,65.0,70.0,58.0,50.0
apache/arrow,48533,50.0,0.0,35.0,15.0,10.0,25.0,5.0,21.0
astral-sh/ruff,22735,20.0,0.0,10.0,15.0,,20.0,10.0,11.0
promptfoo/promptfoo,7073,65.0,15.0,60.0,40.0,35.0,25.0,50.0,46.0
promptfoo/promptfoo,6601,92.0,75.0,88.0,85.0,0.0,78.0,90.0,86.0
astral-sh/ruff,22887,70.0,10.0,40.0,20.0,0.0,30.0,15.0,31.0
PostHog/posthog,48847,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0
astral-sh/ruff,21795,35.0,0.0,0.0,0.0,0.0,30.0,10.0,9.0
mendableai/firecrawl,2478,45.0,0.0,35.0,20.0,0.0,25.0,40.0,28.0
mendableai/firecrawl,2388,82.0,35.0,75.0,45.0,70.0,60.0,68.0,61.0
PostHog/posthog,50063,20.0,0.0,15.0,5.0,10.0,15.0,10.0,10.0
calcom/cal.com,26982,78.0,72.0,75.0,68.0,65.0,62.0,74.0,73.0
PostHog/posthog,52171,35.0,0.0,15.0,20.0,0.0,25.0,15.0,17.0
calcom/cal.com,28323,78.0,72.0,75.0,65.0,0.0,45.0,70.0,72.0
antiwork/gumroad,1672,75.0,10.0,60.0,55.0,0.0,20.0,40.0,48.0
apache/kafka,20456,45.0,15.0,35.0,20.0,30.0,40.0,25.0,28.0
promptfoo/promptfoo,8241,82.0,45.0,88.0,75.0,35.0,72.0,78.0,74.0
antiwork/gumroad,2920,65.0,35.0,60.0,30.0,25.0,40.0,30.0,44.0
calcom/cal.com,27640,92.0,15.0,88.0,75.0,0.0,70.0,85.0,71.0
calcom/cal.com,27558,85.0,10.0,75.0,70.0,0.0,45.0,80.0,64.0
apache/arrow,48956,95.0,0.0,90.0,85.0,0.0,85.0,90.0,72.0
mendableai/firecrawl,2371,82.0,75.0,80.0,70.0,85.0,78.0,80.0,77.0
astral-sh/ruff,22765,75.0,60.0,65.0,50.0,0.0,80.0,65.0,63.0
promptfoo/promptfoo,6614,85.0,60.0,80.0,75.0,70.0,75.0,78.0,76.0
apache/arrow,48128,85.0,45.0,75.0,55.0,80.0,70.0,80.0,68.0
apache/arrow,48005,72.0,25.0,65.0,40.0,0.0,35.0,60.0,52.0
astral-sh/ruff,22723,85.0,0.0,80.0,60.0,40.0,75.0,80.0,61.0
calcom/cal.com,28469,72.0,15.0,65.0,45.0,0.0,30.0,35.0,46.0
promptfoo/promptfoo,7840,85.0,60.0,90.0,75.0,0.0,55.0,85.0,79.0
mendableai/firecrawl,2620,75.0,15.0,70.0,40.0,0.0,65.0,35.0,47.0
mendableai/firecrawl,3188,45.0,0.0,30.0,5.0,0.0,50.0,20.0,20.0
calcom/cal.com,28569,92.0,88.0,85.0,90.0,75.0,80.0,88.0,89.0
apache/arrow,48370,72.0,15.0,65.0,35.0,40.0,50.0,30.0,43.0
antiwork/gumroad,3830,85.0,20.0,75.0,70.0,0.0,30.0,75.0,65.0
calcom/cal.com,28152,92.0,45.0,88.0,85.0,70.0,75.0,90.0,80.0
apache/kafka,21782,88.0,75.0,85.0,70.0,60.0,90.0,82.0,80.0
calcom/cal.com,26690,85.0,45.0,80.0,70.0,0.0,60.0,75.0,71.0
apache/kafka,21422,72.0,45.0,68.0,55.0,35.0,62.0,58.0,60.0
apache/arrow,47660,70.0,10.0,40.0,40.0,0.0,50.0,60.0,44.0
promptfoo/promptfoo,7718,75.0,20.0,80.0,45.0,30.0,70.0,85.0,61.0
apache/arrow,48381,45.0,0.0,30.0,15.0,35.0,20.0,25.0,23.0
PostHog/posthog,50262,85.0,70.0,80.0,65.0,90.0,75.0,85.0,77.0
PostHog/posthog,45865,50.0,10.0,40.0,25.0,5.0,55.0,35.0,32.0
astral-sh/ruff,22417,30.0,0.0,15.0,0.0,0.0,70.0,10.0,11.0
apache/arrow,48288,45.0,5.0,60.0,20.0,35.0,40.0,25.0,31.0
astral-sh/ruff,22928,20.0,0.0,10.0,0.0,0.0,15.0,5.0,7.0
promptfoo/promptfoo,6761,75.0,0.0,60.0,40.0,0.0,30.0,35.0,42.0
antiwork/gumroad,3454,82.0,35.0,75.0,70.0,60.0,65.0,85.0,69.0
apache/arrow,48165,25.0,15.0,30.0,10.0,0.0,20.0,20.0,20.0
promptfoo/promptfoo,6705,82.0,15.0,75.0,45.0,0.0,35.0,60.0,55.0
calcom/cal.com,27830,45.0,0.0,60.0,30.0,0.0,20.0,25.0,32.0
antiwork/gumroad,4044,85.0,70.0,75.0,65.0,0.0,75.0,80.0,75.0
astral-sh/ruff,24179,78.0,65.0,70.0,35.0,10.0,70.0,85.0,67.0
antiwork/gumroad,2084,45.0,0.0,35.0,25.0,0.0,15.0,20.0,25.0
mendableai/firecrawl,2581,62.0,45.0,68.0,35.0,55.0,72.0,58.0,54.0
antiwork/gumroad,4049,78.0,45.0,82.0,72.0,15.0,68.0,75.0,70.0
antiwork/gumroad,2545,72.0,25.0,65.0,60.0,0.0,55.0,70.0,58.0
antiwork/gumroad,2402,80.0,0.0,60.0,65.0,10.0,65.0,75.0,56.0
