analysis,treated_repo,treated_pr_number,treated_outcome,treated_ps,control_repo,control_pr_number,control_outcome,control_ps,ps_distance
specs → SZZ bugs,microsoft/vscode,293334,False,0.01494035604526012,microsoft/vscode,292047,False,0.014948723627444963,0.0005684035322381931
specs → SZZ bugs,microsoft/vscode,291293,False,0.015423455872288027,ray-project/ray,59570,False,0.015425249329229913,0.00011809592727907159
specs → SZZ bugs,mendableai/firecrawl,2239,False,0.02148629379013621,BerriAI/litellm,19911,False,0.021485896444208074,1.889923701137164e-05
specs → SZZ bugs,continuedev/continue,8682,False,0.02343055375565311,oxc-project/oxc,16117,False,0.02342717482121515,0.00014768100711481935
specs → SZZ bugs,microsoft/vscode,291200,False,0.024159941587529345,prefecthq/prefect,20653,False,0.024152822635731635,0.00030199791076990223
specs → SZZ bugs,astral-sh/ruff,23944,False,0.024464573779724122,prefecthq/prefect,20709,True,0.024472663074243752,0.00033889094004813103
specs → SZZ bugs,mendableai/firecrawl,2241,True,0.024663481201422498,oxc-project/oxc,14552,True,0.02466405281107579,2.376215296528983e-05
specs → SZZ bugs,microsoft/vscode,291207,False,0.024799366654761287,promptfoo/promptfoo,6731,True,0.024804395132264005,0.00020790217862964866
specs → SZZ bugs,continuedev/continue,8637,False,0.027108602886388992,ray-project/ray,55902,False,0.02710173625473173,0.0002603908560416812
specs → SZZ bugs,mendableai/firecrawl,2230,True,0.027768950668185965,oxc-project/oxc,15470,False,0.02776143624029868,0.0002783710418579055
specs → SZZ bugs,continuedev/continue,8563,False,0.028279151435741556,oxc-project/oxc,18282,False,0.028279999436528865,3.085901355293075e-05
specs → SZZ bugs,microsoft/vscode,290421,True,0.028480063225183958,ray-project/ray,59355,False,0.02847701824016349,0.0001100563311822178
specs → SZZ bugs,continuedev/continue,8798,False,0.02854181992160207,oxc-project/oxc,19190,False,0.0285489057658588,0.00025552506725157187
specs → SZZ bugs,elastic/elasticsearch,144627,False,0.028948003957506338,danny-avila/LibreChat,10687,False,0.028965270248180203,0.0006140621272923141
specs → SZZ bugs,continuedev/continue,8478,False,0.029349561368871232,oxc-project/oxc,18013,False,0.02935696168821695,0.0002597364496588206
specs → SZZ bugs,cli/cli,12154,False,0.02942162506349748,langchain-ai/langchain,34279,False,0.029422029448621972,1.4161035448267967e-05
specs → SZZ bugs,continuedev/continue,8301,False,0.02989305216931198,oxc-project/oxc,20189,False,0.029890326239355006,9.40034968905934e-05
specs → SZZ bugs,promptfoo/promptfoo,7717,False,0.0299315584262823,zephyrproject-rtos/zephyr,100036,False,0.029935191916683573,0.00012513153319515524
specs → SZZ bugs,continuedev/continue,8679,False,0.03107126366680934,oxc-project/oxc,15906,False,0.03106651976976227,0.0001575856237847617
specs → SZZ bugs,microsoft/vscode,291914,False,0.03130655402647838,promptfoo/promptfoo,6849,False,0.031299291092534,0.0002395185864236815
specs → SZZ bugs,microsoft/vscode,291474,False,0.03161683815731097,oxc-project/oxc,15513,False,0.031618874544020244,6.650909820971052e-05
specs → SZZ bugs,microsoft/vscode,291795,False,0.03172374812155231,ray-project/ray,55738,False,0.03171838462296658,0.00017462238260534946
specs → SZZ bugs,microsoft/vscode,292635,False,0.032393712679593095,microsoft/vscode,304168,False,0.032399474604528126,0.0001838107301281866
specs → SZZ bugs,microsoft/vscode,292593,False,0.03245621091302216,zephyrproject-rtos/zephyr,101469,False,0.03245287418052532,0.0001062611522839596
specs → SZZ bugs,dotnet/aspire,15317,False,0.032568395654109523,oxc-project/oxc,15909,False,0.03258011534889561,0.0003718982778111446
specs → SZZ bugs,elastic/elasticsearch,144663,False,0.03280996576500693,zephyrproject-rtos/zephyr,103745,False,0.032825031537557905,0.00047465439594729375
specs → SZZ bugs,continuedev/continue,8384,True,0.03288697070107293,zephyrproject-rtos/zephyr,101195,False,0.032893415287915326,0.00020260626592305542
